Time,Momentum,Torque
24.036,0.0283699557,0.001565287143
24.146,0.02853016,0.001574917273
24.256,0.0287164375,0.001560151364
24.366,0.0288733933,0.00154564
24.476,0.0290564783,0.001556790455
24.586,0.0292158872,0.001463124545
24.696,0.0293783657,0.001517573182
24.806,0.0295497533,0.001495907273
24.916,0.0297074653,0.00150732
25.026,0.0298813637,0.001436150455
25.136,0.0300234184,0.001356386818
25.246,0.0301797688,0.001481281905
25.346,0.0303344876,0.001407346818
25.466,0.0304893851,0.001417124737
25.726,0.030872995,0.001415006216
25.836,0.0310129374,0.001378848636
25.946,0.0311763417,0.001384656818
26.056,0.0313175619,0.001289305581
26.161,0.0314535424,0.001362364651
26.271,0.0316104703,0.001340698182
26.381,0.031748496,0.001225129091
26.491,0.0318799987,0.001259571364
26.601,0.0320256017,0.001253340455
26.711,0.0321557336,0.001250427727
26.821,0.0323006958,0.001236406818
26.931,0.0324277431,0.001281393333
27.031,0.0325697884,0.00127346381
27.141,0.0326951705,0.001119381818
27.251,0.0328160524,0.001168098636
27.361,0.0329521522,0.001161664091
27.471,0.0330716185,0.001161206818
27.581,0.0332076177,0.001161969091
27.691,0.0333272517,0.001055391818
27.801,0.0334398039,0.001091628636
27.911,0.03356741,0.001078115909
28.021,0.0336769894,0.001107477727
28.131,0.0338110551,0.001138651818
28.241,0.0339274928,0.00105954381
28.341,0.0340335593,0.0009992471429
28.451,0.0341373347,0.0009652395455
28.561,0.034245912,0.001011991818
28.671,0.0343599729,0.001067820455
28.781,0.0344808325,0.001061165909
28.891,0.0345934294,0.0009709081081
29.003,0.0346963741,0.0009289073059
29.11,0.0347968601,0.001022892627
29.22,0.0349183418,0.0009469518182
29.33,0.0350051895,0.0009279695455
29.44,0.0351224951,0.0009611927273
29.55,0.0352166519,0.0008290497797
29.667,0.0353106894,0.0009301507042
29.763,0.035414774,0.0009793169903
29.873,0.0355124287,0.0009019263636
29.983,0.0356131978,0.0008871058559
30.095,0.0357093662,0.0008540648649
30.205,0.0358028002,0.0008308245455
30.315,0.0358921476,0.0008650631818
30.425,0.0359931141,0.0008353161905
30.525,0.036067564,0.0008021080952
30.635,0.0361615568,0.0008263881818
30.745,0.0362493694,0.0008642504545
30.855,0.0363516919,0.0008194790909
30.965,0.0364296548,0.0007225709091
31.075,0.0365106575,0.0008492986364
31.185,0.0366165005,0.0008375468182
31.295,0.0366949178,0.00071131
31.405,0.0367729887,0.0007331709091
31.515,0.0368562154,0.0007457354545
31.625,0.0369370505,0.0007333236364
31.735,0.0370175466,0.0007429077273
31.845,0.0371004902,0.0007683142857
31.945,0.0371788926,0.0006912719048
32.055,0.0372456573,0.0006819313636
32.165,0.0373289175,0.0007166613636
32.275,0.0374033228,0.0007198786364
32.385,0.0374872908,0.0007097354545
32.495,0.0375594646,0.0006769868182
32.605,0.0376362279,0.000646795
32.715,0.0377017595,0.0006329777273
32.825,0.037775483,0.0006318936364
32.935,0.0378407761,0.0006476586364
33.045,0.0379179679,0.0006931581818
33.155,0.0379932709,0.0006136085714
33.255,0.0380468257,0.0005704304762
33.365,0.0381130613,0.0006502663636
33.475,0.0381898843,0.0006626445455
33.585,0.0382588431,0.0006009568182
33.695,0.0383220948,0.0005759468182
33.805,0.0383855514,0.0005539677273
33.915,0.0384439677,0.0005550681614
34.028,0.0385093316,0.0006380605381
34.138,0.0385862552,0.0006004814286
34.238,0.0386354327,0.0004942747619
34.348,0.0386900529,0.0005942686364
34.458,0.0387661718,0.0006168236364
34.568,0.0388257541,0.0005110927273
34.678,0.0388786122,0.0005091795455
34.788,0.0389377736,0.0005382959641
34.901,0.0389986522,0.0004948121076
35.011,0.0390481167,0.0004890463636
35.121,0.0391062424,0.0005210261905
35.221,0.0391575322,0.0004928380952
35.331,0.0392097384,0.0005214895455
35.441,0.0392722599,0.0005050477273
35.551,0.0393208489,0.0004851854545
35.661,0.0393790007,0.0004577027273
35.771,0.0394215435,0.0004698436364
35.881,0.0394823663,0.0004636631818
35.991,0.0395235494,0.0004000622727
36.101,0.03957038,0.0004805622727
36.211,0.0396292731,0.0004780563636
36.321,0.0396755524,0.0004721977273
36.431,0.0397331566,0.0004843761905
36.531,0.0397772714,0.0004781319048
36.641,0.0398335643,0.0004477897368
36.911,0.0399474315,0.00042982
37.021,0.0399968959,0.0003799627273
37.131,0.0400310233,0.0003734945455
37.241,0.0400790647,0.0004335390909
37.351,0.0401264019,0.0004085286364
37.461,0.040168941,0.0003430461905
37.561,0.0401984416,0.0003515966667
37.671,0.0402427763,0.0004361017391
37.791,0.040298745,0.0003405931818
37.891,0.0403177068,0.0002633071429
38.001,0.0403540395,0.0004510986364
38.111,0.0404169485,0.0004670159091
38.221,0.040456783,0.0002641568182
38.331,0.040475063,0.0002873895455
38.441,0.0405200087,0.0003900886364
38.551,0.0405608825,0.0003453172727
38.661,0.0405959785,0.0003193422727
38.771,0.0406311378,0.0003671185714
38.871,0.0406730734,0.0003397109524
38.981,0.0407024771,0.0002840324444
39.096,0.0407369807,0.000321948
39.206,0.0407749154,0.0003720890909
39.316,0.0408188403,0.0003650781818
39.426,0.0408552326,0.0002964313636
39.536,0.0408840552,0.0003111152381
39.636,0.0409205668,0.0003317990476
39.746,0.040953733,0.0002785331818
39.856,0.0409818441,0.0003333459091
39.966,0.0410270691,0.0002832572727
40.076,0.0410441607,0.0002371654545
40.186,0.0410792455,0.0003270127273
40.296,0.0411161035,0.0002689827273
40.406,0.0411384217,0.0002733854545
40.516,0.0411762483,0.0002893536364
40.626,0.0412020795,0.0002741813636
40.736,0.0412365682,0.0002823768182
40.846,0.0412642024,0.0002098052381
40.946,0.0412806273,0.0002719819048
41.056,0.0413213186,0.0003032045455
41.166,0.0413473323,0.0002642586364
41.276,0.0413794555,0.0003199854545
41.386,0.0414177291,0.0002848322727
41.496,0.0414421186,0.0001623886364
41.606,0.0414534546,0.0002578918182
41.716,0.0414988548,0.000321645
41.826,0.0415242165,0.0001749531818
41.936,0.0415373445,0.00013533
42.046,0.0415539891,0.0002670522727
42.156,0.041596096,0.0002552836364
42.266,0.0416101515,0.0002428180952
42.366,0.0416470878,0.0003226990476
42.476,0.0416779183,0.0002443959091
42.586,0.0417008549,0.0001644545455
42.696,0.0417140983,0.0001445245455
42.806,0.0417326503,0.0002371145455
42.916,0.0417662635,0.0002131709091
43.026,0.0417795479,0.0001812695455
43.136,0.0418061428,0.00023383
43.246,0.0418309905,0.0002058390909
43.356,0.0418514274,0.0002870336364
43.466,0.0418941379,0.0001900913636
43.576,0.0418932475,0.0001273338095
43.676,0.041920878,0.0002973490476
43.786,0.0419556908,0.0002110377273
43.896,0.0419673063,0.0001463022727
44.006,0.0419878773,0.0001423231818
44.116,0.0419986174,0.0002035536364
44.226,0.0420326591,0.0001873481818
44.336,0.042039834,0.0001019540909
44.446,0.042055089,0.0001877377273
44.556,0.0420811363,0.0002042136364
44.666,0.042100016,0.0001676209091
44.776,0.0421180129,0.0002210454545
44.886,0.042148646,0.0001761386364
44.996,0.0421567634,0.0001460842857
45.096,0.0421793237,0.0002364847619
45.206,0.0422064252,0.0001231886364
45.316,0.0422064252,0.00008222727273
45.426,0.0422245152,0.0002057036364
45.536,0.04225168,0.0002305954545
45.646,0.0422752462,0.0001112509091
45.756,0.0422761552,0.00006600545455
45.866,0.0422897674,0.0002146445455
45.976,0.042323377,0.0002395868182
46.086,0.0423424765,0.0001198863636
46.196,0.042349752,0.00008688409091
46.306,0.042361591,0.0001214447619
46.406,0.0423752554,0.00013019
46.516,0.0423889309,0.0001824377273
46.626,0.0424153917,0.0001576304545
46.736,0.0424236096,0.00007472590909
