                                                                                                18 Apr 2022 10:58:24
FOR UNFUNDED EDUCATIONAL USE ONLY
Satellite-Jerrico


       Time (UTCG)             x (km)          y (km)         z (km)       vx (km/sec)    vy (km/sec)    vz (km/sec)
20 Sep 2024 17:40:00.000     1487.824543     601.055970    -1084.165715       0.773862       0.458683       1.312458
20 Sep 2024 18:11:40.000      959.391598     565.662175     1587.594762      -1.211049      -0.487254       0.905639
20 Sep 2024 18:43:20.000    -1464.044638    -586.679108     1124.546733      -0.801195      -0.469595      -1.291760
20 Sep 2024 19:15:00.000     -986.676793    -575.900487    -1560.477435       1.198448       0.479028      -0.934160
20 Sep 2024 19:46:40.000     1449.606955     577.936847    -1146.393395       0.821961       0.477622       1.276119
20 Sep 2024 20:18:20.000     1017.642980     588.480420     1542.778567      -1.178854      -0.467931       0.956471
20 Sep 2024 20:50:00.000    -1423.961710    -562.724871     1186.875197      -0.848806      -0.488161      -1.253697
20 Sep 2024 21:21:40.000    -1044.146570    -598.200379    -1513.562865       1.165444       0.459361      -0.984921
20 Sep 2024 21:53:20.000     1409.155671     553.989228    -1206.707039       0.868744       0.495768       1.237828
20 Sep 2024 22:25:00.000     1074.256557     610.315948     1495.617987      -1.144810      -0.447931       1.005705
20 Sep 2024 22:56:40.000    -1381.575027    -537.912336     1247.309887      -0.895023      -0.505890      -1.213624
20 Sep 2024 23:28:20.000    -1099.924359    -619.497225    -1464.218492       1.130576       0.439002      -1.034126
21 Sep 2024 00:00:00.000     1366.534320     529.251473    -1265.029511       0.914149       0.513104       1.197648
21 Sep 2024 00:31:40.000     1129.142301     631.144767     1446.191667      -1.108985      -0.427292       1.053270
21 Sep 2024 01:03:20.000    -1336.960722    -512.288065     1305.746636      -0.939760      -0.522753      -1.171616
21 Sep 2024 01:35:00.000    -1153.924945    -639.767459    -1412.527799       1.093891       0.417981      -1.081698
21 Sep 2024 02:06:40.000     1321.806730     503.760916    -1321.290362       0.958117       0.529615       1.155637
21 Sep 2024 02:38:20.000     1182.215246     650.944103     1394.577636      -1.071450      -0.406052       1.099103
21 Sep 2024 03:10:00.000    -1290.201462    -485.900371     1362.081464      -0.982936      -0.538728      -1.127759
21 Sep 2024 03:41:40.000    -1206.063255    -658.987350    -1358.582066       1.055442       0.396329      -1.127555
21 Sep 2024 04:13:20.000     1275.039016     477.554824    -1375.422695       1.000586       0.545283       1.111856
21 Sep 2024 04:45:00.000     1233.394233     669.692463     1340.854758      -1.032276      -0.384247       1.143146
21 Sep 2024 05:16:40.000    -1241.386583    -458.798694     1416.212291      -1.024477      -0.553795      -1.082144
21 Sep 2024 05:48:20.000    -1256.254834    -677.134100    -1302.480197       1.015288       0.374080      -1.171618
21 Sep 2024 06:20:00.000     1226.300504     450.670083    -1427.361932       1.041495       0.560092       1.066365
21 Sep 2024 06:51:40.000     1282.601317     687.370073     1285.103528      -0.991534      -0.361912       1.185345
21 Sep 2024 07:23:20.000    -1190.611223    -431.032382     1468.041923      -1.064315      -0.567938      -1.034865
21 Sep 2024 07:55:00.000    -1304.418355    -694.187331    -1244.326290       0.973493       0.351270      -1.213806
21 Sep 2024 08:26:40.000     1175.662836     423.142091    -1477.046029       1.080784       0.574025       1.019229
21 Sep 2024 08:58:20.000     1329.761878     703.959135     1227.406002      -0.949296      -0.339078       1.225649
21 Sep 2024 09:30:00.000    -1137.974513    -402.649667     1517.480940      -1.102391      -0.581148      -0.986015
21 Sep 2024 10:01:40.000    -1350.478578    -710.129938    -1184.225990       0.930126       0.327930      -1.254044
21 Sep 2024 10:33:20.000     1123.197840     395.003829    -1524.415980       1.118394       0.587070       0.970514
21 Sep 2024 11:05:00.000     1374.805048     719.443640     1167.845026      -0.905633      -0.315777       1.264013
21 Sep 2024 11:36:40.000    -1083.577423    -373.697399     1564.449200      -1.138650      -0.593417      -0.935682
21 Sep 2024 12:08:20.000    -1394.367868    -724.947822    -1122.283624       0.885258       0.304094      -1.292261
21 Sep 2024 12:40:00.000     1068.975751     366.286032    -1569.415674       1.154271       0.599215       0.920281
21 Sep 2024 13:11:40.000     1417.664005     733.808919     1106.503518      -0.860614      -0.292041       1.300393
21 Sep 2024 13:43:20.000    -1027.521224    -344.221622     1608.875207      -1.173043      -0.604738      -0.883952
21 Sep 2024 14:15:00.000    -1436.025319    -738.628786    -1058.601649       0.838961       0.279793      -1.328392
21 Sep 2024 14:46:40.000     1013.065200     337.018552    -1611.990834       1.188364       0.610449       0.868595
21 Sep 2024 15:18:20.000     1458.275911     747.041310     1043.464291      -0.814307      -0.267901       1.334753
21 Sep 2024 15:50:00.000     -969.906813    -314.268193     1650.694491      -1.205522      -0.615104      -0.830908
21 Sep 2024 16:21:40.000    -1475.394264    -751.161347     -993.282337       0.791308       0.255060      -1.362377
21 Sep 2024 16:53:20.000      955.535279     307.232179    -1652.087601       1.220622       0.620757       0.815518
21 Sep 2024 17:25:00.000     1496.581901     759.128090      978.810626      -0.766780      -0.243387       1.367055
21 Sep 2024 17:56:40.000     -910.834409    -283.882622     1689.848232      -1.236048      -0.624509      -0.776637
21 Sep 2024 18:28:20.000    -1512.419900    -762.534007     -926.429943       0.742376       0.229930      -1.394160
21 Sep 2024 19:00:00.000      896.458598     276.959879    -1689.651574       1.250996       0.630127       0.761117
21 Sep 2024 19:31:40.000     1532.527401     770.057410      912.626985      -0.718099      -0.218528       1.397266
21 Sep 2024 20:03:20.000     -850.402810    -253.108915     1726.283061      -1.264582      -0.632948      -0.721223
21 Sep 2024 20:35:00.000    -1547.048437    -772.734961     -858.151310       0.692243       0.204439      -1.423688
21 Sep 2024 21:06:40.000      835.913603     246.236931    -1724.627632       1.279431       0.638543       0.705462
21 Sep 2024 21:38:20.000     1566.062574     779.817785      844.999553      -0.668332      -0.193350       1.425350
21 Sep 2024 22:10:00.000     -788.708060    -221.988177     1759.951806      -1.291091      -0.640416      -0.664754
21 Sep 2024 22:41:40.000    -1579.228064    -781.751878     -788.554176       0.640994       0.178625      -1.450910
21 Sep 2024 23:13:20.000      773.985079     215.100374    -1756.960337       1.305878       0.645990       0.648628
21 Sep 2024 23:45:00.000     1597.142287     788.396966      776.016650      -0.617541      -0.167877       1.451275
22 Sep 2024 00:16:40.000     -725.842431    -190.558259     1790.813807      -1.315549      -0.646907      -0.607310
22 Sep 2024 00:48:20.000    -1608.910523    -789.571399     -717.744820       0.588714       0.152526      -1.475785
22 Sep 2024 01:20:00.000      710.763058     183.588655    -1786.594555       1.330285       0.652450       0.590694
22 Sep 2024 01:51:40.000     1625.725345     795.780699      705.769256      -0.565789      -0.142132       1.475004
22 Sep 2024 02:23:20.000     -661.894897    -158.855182     1818.833857      -1.337931      -0.652414      -0.548972
22 Sep 2024 02:55:00.000    -1636.051994    -796.178573     -645.827366       0.535491       0.126179      -1.498276
22 Sep 2024 03:26:40.000      646.341382     151.742130    -1813.476141       1.352606       0.657904       0.531745
22 Sep 2024 03:58:20.000     1651.773071     801.952097      634.351876      -0.513136      -0.116138       1.496503
22 Sep 2024 04:30:00.000     -596.953749    -126.915958     1843.979809      -1.358215      -0.656929      -0.489820
22 Sep 2024 05:01:40.000    -1660.612765    -801.556773     -572.906383       0.481410       0.099624      -1.518353
22 Sep 2024 05:33:20.000      580.817253     119.604208    -1837.552888       1.372799       0.662336       0.471869
22 Sep 2024 06:05:00.000     1675.247965     806.892157      561.863541      -0.459647      -0.089928       1.515734
22 Sep 2024 06:36:40.000     -531.110468     -94.781302     1866.220150      -1.376380      -0.660441      -0.429936
22 Sep 2024 07:08:20.000    -1682.556283    -805.688622     -499.091854       0.426562       0.072901      -1.535985
22 Sep 2024 07:40:00.000      514.292188      87.222321    -1858.775706       1.390828       0.665729       0.411162
22 Sep 2024 08:11:40.000     1696.113205     810.581365      488.408557      -0.405389      -0.063535       1.532659
22 Sep 2024 08:43:20.000     -464.462807     -62.496609     1885.523104      -1.392409      -0.662939      -0.369410
22 Sep 2024 09:15:00.000    -1701.848763    -808.557793     -424.503236       0.371041       0.046057      -1.551146
22 Sep 2024 09:46:40.000      446.873431      54.647848    -1877.099981       1.406657       0.668065       0.349720
22 Sep 2024 10:18:20.000     1714.333306     813.001700      414.096446      -0.350442      -0.037002       1.547240
22 Sep 2024 10:50:00.000     -397.115128     -30.110557     1901.857907      -1.406285      -0.664415      -0.308334
22 Sep 2024 11:21:40.000    -1718.459921    -810.150892     -349.269430       0.314946       0.019139      -1.563813
22 Sep 2024 11:53:20.000      378.674473      21.934816    -1892.486554       1.420250       0.669332       0.287646
22 Sep 2024 12:25:00.000     1729.875522     814.138110      339.041052      -0.294887      -0.010365       1.559445
22 Sep 2024 12:56:40.000     -329.175494       2.327759     1915.197620      -1.417995      -0.664864      -0.246805
22 Sep 2024 13:28:20.000    -1732.364422    -810.458542     -273.523551       0.258383      -0.007806      -1.573968
22 Sep 2024 14:00:00.000      309.813531     -10.862096    -1904.901979       1.431577       0.669516       0.225046
22 Sep 2024 14:31:40.000     1742.711095     813.978989      263.359462      -0.238811       0.016335       1.569243
22 Sep 2024 15:03:20.000     -260.750987      34.771367     1925.521897      -1.427528      -0.664281      -0.184915
22 Sep 2024 15:35:00.000    -1743.542846    -809.475207     -197.394912       0.201451      -0.034734      -1.581601
22 Sep 2024 16:06:40.000      240.410338     -43.689123    -1914.317816       1.440608       0.668608       0.162030
22 Sep 2024 16:38:20.000     1752.815873     812.515858      187.171351      -0.182297       0.043061       1.576610
22 Sep 2024 17:10:00.000     -191.943848      67.176001     1932.818213      -1.434874      -0.662664      -0.122754
22 Sep 2024 17:41:40.000    -1751.981462    -807.198178     -121.002621       0.144246      -0.061601      -1.586709
22 Sep 2024 18:13:20.000      170.582687     -76.493710    -1920.709409       1.447327       0.666602       0.098708
22 Sep 2024 18:45:00.000     1760.170228     809.742787      110.598924      -0.125428       0.069776       1.581522
22 Sep 2024 19:16:40.000     -122.850683      99.498397     1937.080991      -1.440024      -0.660010      -0.060404
22 Sep 2024 19:48:20.000    -1757.670945    -803.626563      -44.454826       0.086854      -0.088369      -1.589290
22 Sep 2024 20:20:00.000      100.444921    -109.223307    -1924.055219       1.451721       0.663496       0.035184
22 Sep 2024 20:51:40.000     1764.758565     805.656092       33.767087      -0.068287       0.096441       1.583958
22 Sep 2024 21:23:20.000      -53.565109     131.693450     1938.309257      -1.442970      -0.656317       0.002051
22 Sep 2024 21:55:00.000    -1760.604872    -798.760934       32.145705       0.029362      -0.114996      -1.589348
22 Sep 2024 22:26:40.000       30.109353    -141.823459    -1924.337583       1.453781       0.659290      -0.028437
22 Sep 2024 22:58:20.000     1766.569009     800.254621      -43.196641      -0.010958       0.123011       1.583897
22 Sep 2024 23:30:00.000       15.817594     163.712097     1936.504102      -1.443703      -0.651583       0.064527
23 Sep 2024 00:01:40.000    -1760.779101    -792.603906      108.692174      -0.028146      -0.141442      -1.586889
23 Sep 2024 00:33:20.000      -40.310061    -174.236506    -1921.545281       1.453504       0.653988      -0.092045
23 Sep 2024 01:05:00.000     1765.593756     793.540375     -120.163306       0.046468       0.149437       1.581324
23 Sep 2024 01:36:40.000       85.196628     195.501456     1931.667146      -1.442220      -0.645811       0.126933
23 Sep 2024 02:08:20.000    -1758.192595    -785.161147      185.065574      -0.085578      -0.167661      -1.581924
23 Sep 2024 02:40:00.000     -110.693961    -206.401858    -1915.676708       1.450889       0.647594      -0.155528
23 Sep 2024 03:11:40.000     1761.829943     785.518807     -197.004675       0.103894       0.175669       1.576228
23 Sep 2024 03:43:20.000      154.464764     227.007383     1923.800471      -1.438522      -0.639006       0.189172
23 Sep 2024 04:15:00.000    -1752.849329    -776.441986      261.132187      -0.142837      -0.193607      -1.574467
23 Sep 2024 04:46:40.000     -180.916225    -238.258113    -1906.742247       1.445937       0.640115      -0.218766
23 Sep 2024 05:18:20.000     1755.280357     776.198237     -273.595947       0.161224       0.201660       1.568606
23 Sep 2024 05:50:00.000      223.511171     258.178302     1912.907626      -1.432616      -0.631175       0.251146
23 Sep 2024 06:21:40.000    -1744.760126    -766.458889      336.748734      -0.199823      -0.219237      -1.564541
23 Sep 2024 06:53:20.000     -250.846332    -269.746152    -1894.764106       1.438656       0.631560      -0.281639
23 Sep 2024 07:25:00.000     1745.953444     765.588529     -349.817817       0.218358       0.227364       1.558459
23 Sep 2024 07:56:40.000      292.226749     288.968395     1898.994934      -1.424515      -0.622327       0.312761
23 Sep 2024 08:28:20.000    -1733.943054    -755.225773      411.773258      -0.256434      -0.244511      -1.552173
23 Sep 2024 09:00:00.000     -320.355212    -300.811978    -1879.773196       1.429059       0.621938      -0.344028
23 Sep 2024 09:31:40.000     1733.862300     753.699619     -425.557021       0.275203       0.252743       1.545790
23 Sep 2024 10:03:20.000      360.509421     319.338472     1882.072380      -1.414234      -0.612470       0.373930
23 Sep 2024 10:35:00.000    -1720.421758    -742.755832      486.077261      -0.312583      -0.269395      -1.537394
23 Sep 2024 11:06:40.000     -389.322361    -331.408048    -1861.803710       1.417161       0.611261      -0.405825
23 Sep 2024 11:38:20.000     1719.022917     740.540628     -500.704963       0.331667       0.277756       1.530605
23 Sep 2024 12:10:00.000      428.266917     349.253948     1862.153962      -1.401782      -0.601608       0.434577
23 Sep 2024 12:41:40.000    -1704.222151    -729.059961      559.554154      -0.368193      -0.293864      -1.520232
23 Sep 2024 13:13:20.000     -457.641518    -361.492529    -1840.887144       1.402987       0.599540      -0.466930
23 Sep 2024 13:45:00.000     1701.452327     726.120012     -575.154783       0.387662       0.302363       1.512913
23 Sep 2024 14:16:40.000      495.415865     378.680727     1839.257793      -1.387166      -0.589742       0.494631
23 Sep 2024 14:48:20.000    -1685.368735    -714.146673      632.120751      -0.423205      -0.317892      -1.500710
23 Sep 2024 15:20:00.000     -525.222509    -391.026689    -1817.047822       1.386565       0.586791      -0.527259
23 Sep 2024 15:51:40.000     1681.167372     710.446734     -648.797600       0.443101       0.326528       1.492730
23 Sep 2024 16:23:20.000      561.877429     407.580566     1813.406406      -1.370387      -0.576872       0.554023
23 Sep 2024 16:55:00.000    -1663.882250    -698.023707      703.711498      -0.477567      -0.341453      -1.478845
23 Sep 2024 17:26:40.000     -591.988410    -419.971450    -1790.301677       1.367925       0.573027      -0.586740
23 Sep 2024 17:58:20.000     1658.184549     693.532082     -721.519370       0.497904       0.350210       1.470081
23 Sep 2024 18:30:00.000      627.571413     435.907770     1784.627395      -1.351443      -0.563000       0.612677
23 Sep 2024 19:01:40.000    -1639.779591    -680.700628      774.267927      -0.531231      -0.364515      -1.454648
23 Sep 2024 19:33:20.000     -657.869138    -448.284268    -1760.658604       1.347095       0.558267      -0.645305
23 Sep 2024 20:05:00.000     1632.521021     675.391524     -793.199252       0.551991       0.373372       1.444992
23 Sep 2024 20:36:40.000      692.411028     463.608297     1752.954161      -1.330333      -0.548135       0.670510
23 Sep 2024 21:08:20.000    -1613.075985    -662.191424      843.727057      -0.584142      -0.387042      -1.428129
23 Sep 2024 21:40:00.000     -722.793571    -475.917371    -1728.127836       1.324102       0.542529      -0.702888
23 Sep 2024 22:11:40.000     1604.196604     656.046100     -863.710057       0.605284       0.395970       1.417495
23 Sep 2024 22:43:20.000      756.300164     490.621380     1718.426456      -1.307063      -0.532289       0.727428
23 Sep 2024 23:15:00.000    -1583.788492    -642.516174      912.012560      -0.636238      -0.408991      -1.399303
23 Sep 2024 23:46:40.000     -786.683072    -502.817685    -1692.724175       1.298974       0.525836      -0.759413
24 Sep 2024 00:18:20.000     1573.236061     635.522938     -932.920701       0.657702       0.417956       1.387626
24 Sep 2024 00:50:00.000      819.133878     516.882849     1681.090227      -1.281644      -0.515484       0.783329
24 Sep 2024 01:21:40.000    -1551.939386    -621.701387      979.030914      -0.687445      -0.430315      -1.368191
24 Sep 2024 01:53:20.000     -849.448155    -528.928304    -1654.473210       1.271737       0.508215      -0.814798
24 Sep 2024 02:25:00.000     1539.670952     613.854801    -1000.699745       0.709162       0.439278       1.355425
24 Sep 2024 02:56:40.000      880.801351     542.328782     1640.996879      -1.254099      -0.497747       0.838105
24 Sep 2024 03:28:20.000    -1517.558400    -599.779199     1044.672816      -0.737679      -0.450965      -1.334821
24 Sep 2024 04:00:00.000     -910.988751    -554.190705    -1613.413901       1.242423       0.489693      -0.868955
24 Sep 2024 04:31:40.000     1503.540310     591.078908    -1066.918670       0.759577       0.459888       1.320940
